1	149	2016-06-28 09:02:45	2016-06-29 02:36:02	2016-06-29 02:36:02
2	156	2016-06-29 09:50:56	2016-06-29 13:54:01	2016-06-29 13:54:01
3	159	2016-07-06 12:46:27	2016-07-06 12:51:02	2016-07-06 12:51:02
4	164	2016-07-13 11:51:41	2016-07-13 12:09:02	2016-07-13 12:09:02
5	168	2016-07-20 11:40:15	2016-07-20 11:44:02	2016-07-20 11:44:02
6	169	2016-07-20 12:57:12	2016-07-20 13:00:02	2016-07-20 13:00:02
7	170	2016-07-20 14:11:18	2016-07-20 14:14:01	2016-07-20 14:14:01
21	172	2016-07-22 09:02:01	2016-07-26 12:21:24	2016-07-26 12:21:24
22	181	2016-08-03 12:27:33	2016-08-03 12:30:03	2016-08-03 12:30:03
23	185	2016-08-10 09:14:38	2016-08-10 09:17:03	2016-08-10 09:17:03
24	186	2016-08-11 14:12:00	2016-08-11 14:15:02	2016-08-11 14:15:02
25	190	2016-08-24 10:01:12	2016-08-24 10:08:02	2016-08-24 10:08:02
26	196	2016-08-31 12:33:46	2016-08-31 12:36:02	2016-08-31 12:36:02
27	197	2016-08-31 14:08:21	2016-08-31 14:11:02	2016-08-31 14:11:02
28	203	2016-09-14 08:17:56	2016-09-14 08:21:10	2016-09-14 08:21:10
29	212	2016-09-28 08:54:37	2016-09-28 08:59:03	2016-09-28 08:59:03
30	214	2016-09-28 11:50:39	2016-09-28 11:53:03	2016-09-28 11:53:03
31	215	2016-09-28 13:45:52	2016-09-28 13:48:03	2016-09-28 13:48:03
32	224	2016-10-05 08:44:26	2016-10-05 08:48:03	2016-10-05 08:48:03
33	234	2016-10-12 12:54:20	2016-10-12 12:59:03	2016-10-12 12:59:03
34	235	2016-10-12 15:16:51	2016-10-12 15:21:02	2016-10-12 15:21:02
35	238	2016-10-12 20:26:31	2016-10-12 20:30:03	2016-10-12 20:30:03
36	239	2016-10-12 20:59:56	2016-10-12 21:03:03	2016-10-12 21:03:03
37	245	2016-10-19 12:48:04	2016-10-19 12:51:04	2016-10-19 12:51:04
38	251	2016-10-26 14:36:07	2016-10-26 14:39:03	2016-10-26 14:39:03
39	252	2016-10-26 16:02:35	2016-10-26 16:05:05	2016-10-26 16:05:05
