1	1	2151	2017-05-14 13:14:45	2017-05-14 13:14:45
2	1	606	2017-05-14 13:14:45	2017-05-14 13:14:45
3	1	1849	2017-05-14 13:14:45	2017-05-14 13:14:45
4	1	1582	2017-05-14 13:14:45	2017-05-14 13:14:45
5	1	628	2017-05-14 13:14:45	2017-05-14 13:14:45
6	1	562	2017-05-14 13:14:45	2017-05-14 13:14:45
7	1	438	2017-05-14 13:14:45	2017-05-14 13:14:45
8	1	539	2017-05-14 13:14:45	2017-05-14 13:14:45
9	1	545	2017-05-14 13:14:45	2017-05-14 13:14:45
10	1	530	2017-05-14 13:14:45	2017-05-14 13:14:45
11	1	494	2017-05-14 13:14:45	2017-05-14 13:14:45
12	1	465	2017-05-14 13:14:45	2017-05-14 13:14:45
13	1	448	2017-05-14 13:14:45	2017-05-14 13:14:45
14	1	407	2017-05-14 13:14:45	2017-05-14 13:14:45
15	1	382	2017-05-14 13:14:45	2017-05-14 13:14:45
16	1	345	2017-05-14 13:14:45	2017-05-14 13:14:45
17	1	298	2017-05-14 13:14:45	2017-05-14 13:14:45
18	1	244	2017-05-14 13:14:45	2017-05-14 13:14:45
19	1	205	2017-05-14 13:14:45	2017-05-14 13:14:45
20	2	1612	2017-05-14 13:14:45	2017-05-14 13:14:45
21	2	735	2017-05-14 13:14:45	2017-05-14 13:14:45
22	2	533	2017-05-14 13:14:45	2017-05-14 13:14:45
23	2	498	2017-05-14 13:14:45	2017-05-14 13:14:45
24	2	476	2017-05-14 13:14:45	2017-05-14 13:14:45
25	2	434	2017-05-14 13:14:45	2017-05-14 13:14:45
26	2	357	2017-05-14 13:14:45	2017-05-14 13:14:45
27	2	310	2017-05-14 13:14:45	2017-05-14 13:14:45
28	2	199	2017-05-14 13:14:45	2017-05-14 13:14:45
29	3	758	2017-05-14 13:14:45	2017-05-14 13:14:45
30	3	381	2017-05-14 13:14:45	2017-05-14 13:14:45
31	3	473	2017-05-14 13:14:45	2017-05-14 13:14:45
32	3	760	2017-05-14 13:14:45	2017-05-14 13:14:45
33	3	499	2017-05-14 13:14:45	2017-05-14 13:14:45
34	3	1108	2017-05-14 13:14:45	2017-05-14 13:14:45
35	3	311	2017-05-14 13:14:45	2017-05-14 13:14:45
36	3	314	2017-05-14 13:14:45	2017-05-14 13:14:45
37	4	2160	2017-05-14 13:14:45	2017-05-14 13:14:45
38	4	1586	2017-05-14 13:14:45	2017-05-14 13:14:45
39	4	600	2017-05-14 13:14:45	2017-05-14 13:14:45
40	4	626	2017-05-14 13:14:45	2017-05-14 13:14:45
41	4	560	2017-05-14 13:14:45	2017-05-14 13:14:45
42	4	546	2017-05-14 13:14:45	2017-05-14 13:14:45
