1	1.0.0.47	2016-06-08 08:44:20	2016-06-29 02:56:10	2016-06-29 02:56:10
2	1.0.0.48	2017-01-18 09:10:01	2017-01-18 09:12:08	2017-01-18 09:12:08
3	1.0.0.49	2017-02-15 09:12:17	2017-02-15 09:21:03	2017-02-15 09:21:03
4	1.0.0.50	2017-02-28 11:09:03	2017-02-28 11:11:03	2017-02-28 11:11:03
5	1.0.1.3	2017-03-02 15:09:19	2017-03-02 15:12:03	2017-03-02 15:12:03
6	1.0.1.7	2017-06-01 09:44:55	2017-06-01 09:48:04	2017-06-01 09:48:04
7	1.0.1.8	2017-06-08 12:33:33	2017-06-08 12:35:03	2017-06-08 12:35:03
8	1.0.1.9	2017-07-06 07:14:57	2017-07-06 07:16:04	2017-07-06 07:16:04
9	1.0.2.0	2017-07-13 07:52:18	2017-07-13 07:53:05	2017-07-13 07:53:05
10	1.0.2.1	2017-07-26 08:03:00	2017-07-26 08:56:03	2017-07-26 08:56:03
11	1.0.2.2	2017-07-26 09:44:08	2017-07-26 09:58:04	2017-07-26 09:58:04
12	1.0.2.3	2017-07-26 10:32:11	2017-07-26 10:34:04	2017-07-26 10:34:04
13	1.0.2.6	2017-08-17 07:27:30	2017-08-17 07:31:05	2017-08-17 07:31:05
14	1.0.2.7	2017-08-17 08:07:08	2017-08-17 08:08:03	2017-08-17 08:08:03
15	1.0.2.8	2017-08-31 07:27:13	2017-08-31 07:28:02	2017-08-31 07:28:02
16	1.0.2.9	2018-02-08 09:30:09	2018-02-08 09:32:03	2018-02-08 09:32:03
17	1.0.3.0	2018-02-28 09:38:52	2018-02-28 09:41:04	2018-02-28 09:41:04
18	1.0.3.1	2018-03-26 09:26:39	2018-03-26 09:32:02	2018-03-26 09:32:02
19	1.0.3.2	2018-04-05 12:04:58	2018-04-05 12:06:03	2018-04-05 12:06:03
20	1.0.3.3	2018-04-12 07:57:13	2018-04-12 08:03:03	2018-04-12 08:03:03
21	1.0.3.4	2018-04-12 12:11:21	2018-04-12 12:12:03	2018-04-12 12:12:03
22	1.0.3.5	2018-05-03 09:13:29	2018-05-03 09:14:05	2018-05-03 09:14:05
23	1.0.3.6	2018-05-24 08:44:11	2018-05-24 08:46:04	2018-05-24 08:46:04
24	1.0.3.7	2018-05-31 09:56:35	2018-05-31 09:58:04	2018-05-31 09:58:04
