7	1	2016-08-03 07:56:03	2016-07-25 12:43:02
8	0	2016-08-03 13:01:02	2016-08-03 07:57:02
9	1	2016-08-10 07:56:02	2016-08-03 13:02:03
10	0	2016-08-10 11:16:01	2016-08-10 07:57:01
11	1	2016-08-11 13:55:01	2016-08-10 11:17:01
12	0	2016-08-11 15:01:01	2016-08-11 13:56:02
13	1	2016-08-24 07:55:02	2016-08-11 15:02:02
14	0	2016-08-24 11:20:02	2016-08-24 07:56:02
15	1	2016-08-31 07:55:01	2016-08-24 11:21:02
16	0	2016-08-31 15:00:02	2016-08-31 07:56:01
17	1	2016-09-07 07:54:02	2016-08-31 15:01:02
18	0	2016-09-07 12:44:02	2016-09-07 07:55:02
19	1	2016-09-14 07:55:06	2016-09-07 12:45:02
20	0	2016-09-14 12:59:02	2016-09-14 07:56:05
21	1	2016-09-21 07:54:02	2016-09-14 13:00:02
22	0	2016-09-21 10:59:02	2016-09-21 07:55:03
23	1	2016-09-28 07:55:02	2016-09-21 11:00:02
24	0	2016-09-28 11:29:02	2016-09-28 07:56:02
25	1	2016-10-05 07:55:02	2016-09-28 11:30:02
26	0	2016-10-05 13:11:02	2016-10-05 07:56:02
27	1	2016-10-12 07:55:02	2016-10-05 13:12:02
28	0	2016-10-12 16:00:02	2016-10-12 07:56:02
29	1	2016-10-12 16:48:03	2016-10-12 16:01:02
30	0	2016-10-12 21:03:03	2016-10-12 16:49:02
31	1	2016-10-19 07:55:02	2016-10-12 21:04:03
32	0	2016-10-19 14:01:02	2016-10-19 07:56:02
33	1	2016-10-26 07:55:02	2016-10-19 14:02:03
34	0	2016-10-26 15:50:02	2016-10-26 07:56:02
35	1	2016-11-02 08:55:02	2016-10-26 16:48:51
36	0	2016-11-02 15:29:03	2016-11-02 08:56:02
37	1	2016-11-09 08:55:02	2016-11-02 15:31:04
38	0	2016-11-09 13:54:02	2016-11-09 08:56:02
39	1	2016-11-16 08:56:02	2016-11-09 13:55:02
40	0	2016-11-16 14:29:02	2016-11-16 08:57:02
41	1	2016-11-23 08:55:02	2016-11-16 14:30:02
42	0	2016-11-23 13:58:01	2016-11-23 08:56:01
43	1	2016-11-30 18:56:02	2016-11-23 13:59:02
44	0	2016-12-01 11:00:01	2016-11-30 18:57:01
45	1	2016-12-07 08:56:02	2016-12-01 11:01:02
46	0	2016-12-07 15:00:01	2016-12-07 08:57:01
47	1	2016-12-14 08:55:03	2016-12-07 15:01:02
48	0	2016-12-14 18:00:02	2016-12-14 08:56:02
49	1	2016-12-21 08:55:02	2016-12-14 18:01:02
50	0	2016-12-21 14:00:02	2016-12-21 08:56:01
51	1	2016-12-22 08:54:02	2016-12-21 14:01:02
52	0	2016-12-22 10:30:02	2016-12-22 08:55:01
53	1	2016-12-28 08:55:02	2016-12-22 10:31:02
54	0	2016-12-28 16:59:02	2016-12-28 08:57:01
55	1	2017-01-04 08:56:02	2016-12-28 17:00:02
56	0	2017-01-04 12:00:02	2017-01-04 08:57:01
57	1	2017-01-11 08:55:02	2017-01-04 12:01:02
58	0	2017-01-11 16:00:02	2017-01-11 08:56:02
59	1	2017-01-18 08:56:02	2017-01-11 16:01:02
60	0	2017-01-18 14:00:02	2017-01-18 08:57:01
61	1	2017-01-25 08:55:02	2017-01-18 14:01:02
62	0	2017-01-25 15:00:01	2017-01-25 08:56:01
63	1	2017-02-01 08:55:01	2017-01-25 15:01:02
64	0	2017-02-01 12:59:02	2017-02-01 08:56:01
65	1	2017-02-08 08:55:02	2017-02-01 13:00:03
66	0	2017-02-08 14:00:03	2017-02-08 08:56:02
67	1	2017-02-15 08:55:02	2017-02-08 14:01:01
68	0	2017-02-15 15:00:02	2017-02-15 08:56:02
69	1	2017-02-22 08:55:03	2017-02-15 15:01:01
70	0	2017-02-22 12:59:02	2017-02-22 08:56:01
71	1	2017-02-23 08:54:01	2017-02-22 13:00:02
72	0	2017-02-23 10:29:02	2017-02-23 08:55:01
73	1	2017-03-01 08:50:02	2017-02-23 10:30:02
74	0	2017-03-01 15:59:02	2017-03-01 08:51:02
75	1	2017-03-08 08:55:02	2017-03-01 16:00:02
76	0	2017-03-08 13:00:02	2017-03-08 08:56:02
77	1	2017-03-15 08:58:03	2017-03-08 13:01:02
78	0	2017-03-15 14:00:02	2017-03-15 08:59:02
79	1	2017-03-22 08:55:02	2017-03-15 14:01:02
80	0	2017-03-22 13:00:02	2017-03-22 08:56:02
81	1	2017-03-29 07:56:01	2017-03-22 13:01:01
82	0	2017-03-29 14:00:02	2017-03-29 07:57:02
83	1	2017-04-05 07:59:02	2017-03-29 14:01:02
84	0	2017-04-05 15:00:02	2017-04-05 08:00:01
85	1	2017-04-12 07:56:01	2017-04-05 15:01:02
86	0	2017-04-12 13:00:02	2017-04-12 07:57:02
87	1	2017-04-19 07:56:02	2017-04-12 13:01:02
88	0	2017-04-19 15:00:03	2017-04-19 07:57:01
89	1	2017-04-26 07:56:04	2017-04-19 15:01:03
90	0	2017-04-26 15:08:02	2017-04-26 07:57:03
91	1	2017-05-03 07:58:02	2017-04-26 15:09:02
92	0	2017-05-03 11:30:03	2017-05-03 07:59:02
93	1	2017-05-10 07:56:03	2017-05-03 11:31:02
94	0	2017-05-10 13:00:02	2017-05-10 07:57:02
95	1	2017-05-17 07:58:02	2017-05-10 13:01:03
96	0	2017-05-17 12:59:01	2017-05-17 07:59:02
97	1	2017-05-24 07:58:02	2017-05-17 13:00:02
98	0	2017-05-24 15:59:03	2017-05-24 07:59:02
99	1	2017-05-31 07:58:03	2017-05-24 16:00:39
100	0	2017-05-31 12:00:02	2017-05-31 07:59:03
101	1	2017-06-01 09:23:05	2017-05-31 12:01:02
102	0	2017-06-01 10:31:02	2017-06-01 09:24:04
103	1	2017-06-07 07:58:05	2017-06-01 10:32:03
104	0	2017-06-07 11:59:01	2017-06-07 07:59:02
105	1	2017-06-14 07:57:02	2017-06-07 12:00:02
106	0	2017-06-14 12:40:02	2017-06-14 07:58:02
107	1	2017-06-21 07:58:03	2017-06-14 12:41:03
108	0	2017-06-21 12:59:03	2017-06-21 07:59:03
109	1	2017-06-28 07:59:03	2017-06-21 13:00:03
110	0	2017-06-28 13:29:02	2017-06-28 08:00:03
111	1	2017-07-05 07:55:03	2017-06-28 13:30:02
112	0	2017-07-05 13:00:04	2017-07-05 07:56:02
113	1	2017-07-12 07:58:05	2017-07-05 13:01:04
114	0	2017-07-12 12:59:05	2017-07-12 07:59:05
115	1	2017-07-19 08:00:04	2017-07-12 13:00:51
116	0	2017-07-19 10:59:03	2017-07-19 08:01:04
117	1	2017-07-26 07:58:03	2017-07-19 11:00:05
118	0	2017-07-26 11:59:03	2017-07-26 07:59:03
119	1	2017-08-02 07:58:03	2017-07-26 12:00:04
120	0	2017-08-02 12:00:04	2017-08-02 07:59:03
121	1	2017-08-16 07:58:03	2017-08-02 12:02:22
122	0	2017-08-16 12:59:04	2017-08-16 07:59:05
123	1	2017-08-30 07:59:03	2017-08-16 13:01:04
124	0	2017-08-30 11:59:02	2017-08-30 08:00:03
125	1	2017-09-01 09:29:03	2017-08-30 12:00:03
126	0	2017-09-01 11:00:02	2017-09-01 09:30:03
127	1	2017-09-13 07:58:04	2017-09-01 11:01:03
128	0	2017-09-13 11:59:03	2017-09-13 07:59:04
129	1	2017-09-13 14:17:03	2017-09-13 12:00:04
130	0	2017-09-13 14:50:04	2017-09-13 14:18:03
131	1	2017-09-27 07:59:03	2017-09-13 14:51:03
132	0	2017-09-27 12:44:02	2017-09-27 08:00:04
133	1	2017-09-28 12:28:03	2017-09-27 12:45:03
134	0	2017-09-28 13:52:02	2017-09-28 12:29:02
135	1	2017-10-18 07:58:02	2017-09-28 13:53:02
136	0	2017-10-18 13:30:03	2017-10-18 07:59:02
137	1	2017-10-25 07:58:02	2017-10-18 13:31:02
138	0	2017-10-25 13:50:02	2017-10-25 07:59:03
139	1	2017-10-28 08:56:02	2017-10-25 13:51:03
140	0	2017-10-28 08:57:02	2017-10-28 08:57:02
141	1	2017-10-28 09:00:02	2017-10-28 08:58:02
142	0	2017-10-28 10:00:03	2017-10-28 09:01:02
143	1	2017-11-01 08:58:02	2017-10-28 10:01:03
144	0	2017-11-01 13:50:02	2017-11-01 08:59:02
145	1	2017-11-02 10:54:02	2017-11-01 13:51:03
146	0	2017-11-02 12:31:02	2017-11-02 10:55:02
